month,maximum_rainfall_in_a_day,no_of_rainy_days,total_rainfall,rh_extremes_minimum,mean_rh,mean_sunshine_hrs,mean_temp,temp_mean_daily_max,temp_mean_daily_min
1989-01,53.0,10,189.7,55,84.1,5.8,26.5,30.9,23.9
1989-02,48.4,3,52.4,51,78.3,6.7,26.6,31.8,23.7
1989-03,63.5,21,305.9,60,87.6,4.5,26.3,31.0,23.9
1989-04,39.0,17,198.6,53,86.4,5.7,27.0,31.8,24.0
1989-05,38.2,12,194.0,55,86.6,5.2,27.3,31.5,24.5
1989-06,45.9,12,117.6,53,83.3,6.0,27.5,31.7,24.4
1989-07,33.3,12,157.6,53,82.6,6.0,27.7,31.6,24.9
1989-08,81.4,18,201.0,48,83.7,5.3,27.1,31.0,23.9
1989-09,102.2,14,247.3,50,84.4,5.5,26.9,30.8,24.1
1989-10,24.9,16,111.0,51,83.7,5.5,27.1,31.3,24.2
1989-11,148.6,20,508.4,56,86.0,5.4,26.7,31.0,24.0
1989-12,44.2,18,179.7,58,85.5,4.8,26.3,30.2,23.9
1990-01,73.9,13,147.4,52,83.8,5.3,26.2,30.3,23.7
1990-02,6.6,8,24.1,38,80.9,8.9,27.6,32.4,24.9
1990-03,48.6,4,94.2,39,77.6,8.3,28.2,33.3,25.0
1990-04,12.0,10,52.4,44,81.2,6.3,28.5,33.4,25.3
1990-05,153.7,11,180.1,45,81.1,6.5,28.6,32.8,25.6
1990-06,76.1,9,112.6,46,80.7,6.3,28.3,32.4,25.4
1990-07,44.5,12,124.0,53,82.7,5.9,27.5,31.4,24.6
1990-08,38.3,13,146.6,46,82.3,5.8,28.0,31.4,25.1
1990-09,44.5,17,204.5,39,83.2,5.1,27.2,31.3,24.2
1990-10,20.2,12,56.4,50,83.5,5.9,27.5,31.8,24.9
1990-11,46.9,17,180.4,49,83.5,4.6,27.2,31.3,24.7
1990-12,33.5,16,201.1,58,86.0,5.5,26.3,30.2,24.1
1991-01,36.2,13,123.9,50,84.1,5.6,26.7,30.9,24.2
1991-02,17.9,7,45.5,51,81.6,7.0,27.1,31.8,24.1
1991-03,48.6,10,92.4,50,79.9,7.1,27.8,32.4,24.7
1991-04,32.2,13,134.2,49,84.3,5.8,27.7,32.3,24.7
1991-05,44.0,23,256.4,57,86.6,5.1,27.7,31.5,25.0
1991-06,55.6,9,88.7,56,81.0,7.1,28.6,32.2,25.8
1991-07,10.7,8,37.3,44,78.7,6.7,28.5,32.1,25.7
1991-08,129.9,8,226.2,43,79.8,5.3,28.2,32.2,25.3
1991-09,53.6,12,123.1,58,83.0,4.1,27.5,31.3,24.7
1991-10,20.4,5,52.0,40,81.4,4.2,27.5,31.8,24.7
1991-11,75.2,19,205.0,53,86.5,3.5,26.3,30.6,23.6
1991-12,79.4,19,492.3,61,90.7,3.0,25.6,29.1,23.4
1992-01,56.2,9,83.9,55,82.4,6.6,26.6,30.7,23.8
1992-02,43.2,4,62.4,49,80.5,7.7,27.5,32.1,24.3
1992-03,35.1,6,67.6,54,80.6,7.4,28.2,33.0,25.0
